Name,Region,Tier,Type,Base Item,Location,Armor,Agility,Shielding,Poise,Inure,Steadfast,Ethereal,Reflexes ,Evasion,Tempo ,Adaptability,Melee Prot.,Projectile Prot.,Magic Prot.,Blast Prot.,Fire Prot.,Feather Falling,Max Health,Max Health %,Regen,Life Drain,Sustenance,Anemia,Speed,Speed %,Adrenaline,Crippling,Attack Damage,Attack Damage %,Attack Speed,Attack Speed %,Magic Damage,Magic Damage %,Proj Damage,Proj Speed,Knockback Res.,Thorns,Base Spell Power,Base Attack Damage,Base Attack Speed,Base Proj Damage,Base Proj Speed,Base Throw Rate,Unbreaking,Mending,Unbreakable,Irreparability,Smite,Slayer,Duelist,Fire Aspect,Ice Aspect,Thunder Aspect,Knockback,Sweeping Edge,Decay,Hex Eater,Bleeding,Chaotic,Quake,Looting,Sniper,Point Blank,Flame,Frost,Spark,Punch,Infinity (bow),Quick Charge,Piercing,Multishot,Recoil,Efficiency,Sapper,Eruption,Multitool,Fortune,Silk Touch,Lure,Infinity (tool),Shrapnel,Abyssal,Gills,Respiration,Aqua Affinity,Depth Strider,Riptide,Inferno,Second Wind,Regicide,Aptitude,Retrieval,Intuition,Radiant,Darksight,Weightless,Triage,Soul Speed,Void Tether,Resurrection,Ineptitude,Vanishing,Two Handed,Corruption,Arcane Thrust,Rage of the Keter,Protection of the Depths,Persistent,Ashes of Eternity,Tier,Location,Health,Speed,Attack Damage,Attack Speed,Magic Damage,Tier,Location
Geomantic Dagger,Valley,Unique,Sword,Golden Sword,King's Valley,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.6,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Glass Dagger,Valley,Unique,Sword,Golden Sword,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.6,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Highstorm,Valley,Unique,Bow,Bow,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1.2,,4,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Jeweled Tiara,Valley,Unique,Helmet,Golden Helmet,King's Valley,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,10,,,,,9,1
Levyn Bacon Mask,Valley,Unique,Helmet,Player Head,King's Valley,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Magma Crown,Valley,Unique,Helmet,Player Head,King's Valley,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Midnight Spyglass,Valley,Unique,Offhand,End Rod,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,-100%,,,,9,1
Morphic Shield,Valley,Unique,Offhand Shield,Shield,King's Valley,,1,,,,,,,,,,,,,,,,,,,,,,,10%,,,,,,,,,,,10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,10%,,,,9,1
Mr. Snuggles Doll,Valley,Unique,Helmet,Creeper Head,King's Valley,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Murano's Dagger,Valley,Unique,Sword,Wooden Sword,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Nai's Cube,Valley,Unique,Offhand,Conduit,King's Valley,,,,,,,,,,,1,,,,,,,,,,,,,,5%,,,,10%,,,,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,5%,10%,,10%,9,1
Opal Crown,Valley,Unique,Helmet,Golden Helmet,King's Valley,2,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,10,,,,,9,1
Pink Racing Cloak,Valley,Unique,Chestplate,Leather Chestplate,King's Valley,,,,,,,,,,,,,,,,,4,,,,,,,,15%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,15%,,,,9,1
Record Player,Valley,Unique,Misc,Jukebox,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Runner's Boots,Valley,Unique,Boots,Leather Boots,King's Valley,,1.5,,,,,,,,,,,,,,,1,,,,,,,,10%,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,10%,,,,9,1
Sacred Herb Burner,Valley,Unique,Offhand,Flint and Steel,King's Valley,3,,,,,,,,,,,,,,,,,,,,,,,,12%,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,12%,,,,9,1
Sacrifice's Scream,Valley,Unique,Helmet,Golden Helmet,King's Valley,,,,,,,,,,,,,,,,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,10,,,,,9,1
Scalawag's Hatchet,Valley,Unique,Axe,Stone Axe,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0.8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Sea Legs,Valley,Unique,Leggings,Leather Leggings,King's Valley,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Siershen's Caster,Valley,Unique,Wand,Stick,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,35%,4,4,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Silver Knight's Hammer,Valley,Unique,Axe,Stone Axe,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0.8,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Speedleaf Helmet,Valley,Unique,Helmet,Leather Helmet,King's Valley,,,,,,,,,,,,1,,,,,,,,,,,,,10%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,10%,,,,9,1
Standard Lighter,Valley,Unique,Mainhand,Flint and Steel,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Stargazer's Hood,Valley,Unique,Helmet,Turtle Helmet,King's Valley,,2,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,0.5,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,9%,9,1
Steelsiege,Valley,Unique,Bow,Bow,King's Valley,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Swimming Shoes,Valley,Unique,Boots,Leather Boots,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,6%,,,,9,1
The Bestiary,Valley,Unique,Misc,Book,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Topaz Cap,Valley,Unique,Helmet,Leather Helmet,King's Valley,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,10,,,,,9,1
Totem of the Forest,Valley,Unique,Mainhand,Totem of Undying,King's Valley,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,9,,,,,,,9,1
Tyrolean Boots,Valley,Unique,Boots,Leather Boots,King's Valley,,2,,,,,,,,,,,2,,,,2,,,,,,,,10%,,,,,,,,,5%,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,10%,,,,9,1
Umbral Robe,Valley,Unique,Leggings,Leather Leggings,King's Valley,,4.5,,,,,,,,,,,2,,,,,,,,,,,,5%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,5%,,,,9,1
Unstable Sparkler,Valley,Unique,Wand,Charcoal,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,2,4,,,,,,,,,,,3,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Veil Touched Staff,Valley,Unique,Wand,Stick,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,1
Watcher's Sword,Valley,Unique,Sword,Stone Sword,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,5%,,,,,,,,,,,,,,5,1.6,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,5%,,,,9,1
Water Robe,Valley,Unique,Leggings,Leather Leggings,King's Valley,,2,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,5%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,5%,9,1
Waterbound Medallion,Valley,Unique,Offhand,Clock,King's Valley,1.5,1.5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,10,,,,5%,9,1
Gnarled Baseball Bat,Valley,Event,Shovel,Wooden Shovel,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,1
Golden Creeper's Delight,Valley,Event,Consumable,Baked Potato,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,1
Heart Shaped Cookie,Valley,Event,Consumable,Cookie,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,1
Helm of the Pumpking,Valley,Event,Offhand,Carved Pumpkin,King's Valley,1,,,,,,,,,,,,,,,,,,10%,,,,,,-10%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,12.5,-10%,,,,8,1
Jingle Bells,Valley,Event,Misc,Bell,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,1
Reflective Pants,Valley,Event,Leggings,Golden Leggings,King's Valley,6,6,,,,,,,,,,,,,,,,,-50%,,,,,,,,,,,,,,,,,,16,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,-62.5,,,,,8,1
Snow Strand,Valley,Event,Throwable,Snowball,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0.5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,1
Tesseract of Festivity,Valley,Event,Misc,White Stained Glass,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,1
Tesseract of Festivity (u),Valley,Event,Misc,White Stained Glass,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,1
The Grinch,Valley,Event,Helmet,Player Head,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,1
Blazing Crossbow,Valley,Tier 5,Crossbow,Crossbow,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Blessed Axe,Valley,Tier 5,Axe,Stone Axe,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.8,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Brigand's Coif,Valley,Tier 5,Helmet,Leather Helmet,King's Valley,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,5%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5%,,,6,1
Brigand's Shoes,Valley,Tier 5,Boots,Leather Boots,King's Valley,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,5%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5%,,,6,1
Brigand's Trousers,Valley,Tier 5,Leggings,Leather Leggings,King's Valley,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,5%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5%,,,6,1
Brigand's Tunic,Valley,Tier 5,Chestplate,Leather Chestplate,King's Valley,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,5%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5%,,,6,1
Crushing Mace,Valley,Tier 5,Axe,Stone Axe,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,0.8,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Dualsun Cloak,Valley,Tier 5,Chestplate,Leather Chestplate,King's Valley,3,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,5,,,,,6,1
Dualsun Hood,Valley,Tier 5,Helmet,Leather Helmet,King's Valley,3,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,5,,,,,6,1
Dualsun Robe,Valley,Tier 5,Leggings,Leather Leggings,King's Valley,3,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,5,,,,,6,1
Dualsun Shoes,Valley,Tier 5,Boots,Leather Boots,King's Valley,3,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,5,,,,,6,1
Eldritch Blade,Valley,Tier 5,Offhand Sword,Golden Sword,King's Valley,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,20%,,,6,1
Eternal Crescent,Valley,Tier 5,Sword,Wooden Sword,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.6,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Evanescent,Valley,Tier 5,Pickaxe,Wooden Pickaxe,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,,6,1
Executioner's Scythe,Valley,Tier 5,Scythe,Stone Hoe,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Hardened Leather Boots,Valley,Tier 5,Boots,Leather Boots,King's Valley,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Hardened Leather Cap,Valley,Tier 5,Helmet,Leather Helmet,King's Valley,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Hardened Leather Pants,Valley,Tier 5,Leggings,Leather Leggings,King's Valley,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Hardened Leather Tunic,Valley,Tier 5,Chestplate,Leather Chestplate,King's Valley,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Korbaran Shortbow,Valley,Tier 5,Bow,Bow,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Macuahuitl,Valley,Tier 5,Sword,Stone Sword,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Mermaid's Touch,Valley,Tier 5,Mainhand,Fishing Rod,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Molten Rapier,Valley,Tier 5,Sword,Stone Sword,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.6,,,,1,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Nereid Cap,Valley,Tier 5,Helmet,Leather Helmet,King's Valley,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Nereid Harpoon,Valley,Tier 5,Trident,Trident,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Nereid Leggings,Valley,Tier 5,Leggings,Leather Leggings,King's Valley,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Nereid Sandals,Valley,Tier 5,Boots,Leather Boots,King's Valley,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Nereid Tunic,Valley,Tier 5,Chestplate,Leather Chestplate,King's Valley,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Phoenix Axe,Valley,Tier 5,Axe,Stone Axe,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0.8,,,,4,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Polished Gladius,Valley,Tier 5,Sword,Stone Sword,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.6,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
Puresilk Coif,Valley,Tier 5,Helmet,Leather Helmet,King's Valley,,3,,,,,,,,,,,,,,,,,,,,,,,15%,,,,,,10%,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,15%,,10%,,6,1
Puresilk Leggings,Valley,Tier 5,Leggings,Leather Leggings,King's Valley,,3,,,,,,,,,,,,,,,,,,,,,,,15%,,,,,,10%,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,15%,,10%,,6,1
Puresilk Slippers,Valley,Tier 5,Boots,Leather Boots,King's Valley,,3,,,,,,,,,,,,,,,,,,,,,,,15%,,,,,,10%,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,15%,,10%,,6,1
Puresilk Tunic,Valley,Tier 5,Chestplate,Leather Chestplate,King's Valley,,3,,,,,,,,,,,,,,,,,,,,,,,15%,,,,,,10%,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,15%,,10%,,6,1
Pyromancer's Staff,Valley,Tier 5,Wand,Blaze Rod,King's Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30%,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,1
